sample;replic;value;variable
RP_24h;1;1.026404705;DIN
RP_24h;2;3.826553273;DIN
C_48h;1;0.804320057;DIN
C_48h;2;0.697454522;DIN
R_48h;1;0.430705878;DIN
R_48h;2;0.298553576;DIN
RP_48h;1;0.588964629;DIN
RP_48h;2;0.202592445;DIN
C_72h;1;0.293113948;DIN
C_72h;2;2.045341334;DIN
R_72h;1;1.628362984;DIN
R_72h;2;0.713754393;DIN
RP_72h;1;1.94985665;DIN
RP_72h;2;0.845340762;DIN
C_96h;1;0.987198283;DIN
C_96h;2;0.929191495;DIN
R_96h;1;1.209350549;DIN
R_96h;2;1.200350959;DIN
RP_96h;1;1.695587196;DIN
RP_96h;2;0.506289415;DIN
C_120h;1;2.102544601;DIN
C_120h;2;2.8996388;DIN
R_120h;1;1.702723798;DIN
R_120h;2;1.933884781;DIN
RP_120h;1;1.600546073;DIN
RP_120h;2;1.885456485;DIN
C_0h;1;90.0630396;DOC
C_0h;2;88.35670217;DOC
R_0h;1;91.40702385;DOC
R_0h;2;93.08899154;DOC
RP_0h;1;102.329486;DOC
RP_0h;2;95.01941322;DOC
C_24h;1;89.85961097;DOC
C_24h;2;84.54511956;DOC
R_24h;1;87.46512181;DOC
R_24h;2;80.80664614;DOC
RP_24h;1;119.2862012;DOC
RP_24h;2;90.44708554;DOC
C_48h;1;141.4340927;DOC
C_48h;2;107.7969472;DOC
R_48h;1;101.6640007;DOC
R_48h;2;96.40956678;DOC
RP_48h;1;94.19613764;DOC
RP_48h;2;117.3919931;DOC
C_72h;1;103.4200121;DOC
C_72h;2;112.0190445;DOC
R_72h;1;92.91114416;DOC
R_72h;2;85.22390637;DOC
RP_72h;1;90.91708973;DOC
RP_72h;2;84.35859773;DOC
C_96h;1;102.8478319;DOC
C_96h;2;86.03980683;DOC
R_96h;1;86.1074787;DOC
R_96h;2;86.94808325;DOC
RP_96h;1;80.18818308;DOC
RP_96h;2;85.34432844;DOC
C_120h;1;94.81601463;DOC
C_120h;2;99.00599414;DOC
R_120h;1;104.2265506;DOC
R_120h;2;108.352119;DOC
RP_120h;1;85.81150989;DOC
RP_120h;2;82.27216257;DOC
C_0h;1;7.114750851;TDN
C_0h;2;6.624145246;TDN
R_0h;1;9.505725993;TDN
R_0h;2;8.650559702;TDN
RP_0h;1;10.95039467;TDN
RP_0h;2;9.443673111;TDN
C_24h;1;6.463195581;TDN
C_24h;2;6.265402017;TDN
R_24h;1;5.949320144;TDN
R_24h;2;6.521370158;TDN
RP_24h;1;11.29628421;TDN
RP_24h;2;9.001662227;TDN
C_48h;1;8.666515826;TDN
C_48h;2;8.158655942;TDN
R_48h;1;7.38144527;TDN
R_48h;2;7.667244962;TDN
RP_48h;1;7.891361267;TDN
RP_48h;2;8.131926475;TDN
C_72h;1;7.741265026;TDN
C_72h;2;9.116804548;TDN
R_72h;1;6.711152469;TDN
R_72h;2;6.521990083;TDN
RP_72h;1;7.233405142;TDN
RP_72h;2;5.648764247;TDN
C_96h;1;8.485408522;TDN
C_96h;2;7.555528734;TDN
R_96h;1;7.712893006;TDN
R_96h;2;7.569834577;TDN
RP_96h;1;6.315007787;TDN
RP_96h;2;6.915853188;TDN
C_120h;1;11.99442741;TDN
C_120h;2;12.86299644;TDN
R_120h;1;13.32895818;TDN
R_120h;2;14.15869707;TDN
RP_120h;1;10.09583769;TDN
RP_120h;2;8.969763488;TDN
C_0h;1;6.616075217;DON
C_0h;2;6.450184851;DON
R_0h;1;6.705335506;DON
R_0h;2;5.297155307;DON
RP_0h;1;7.773933694;DON
RP_0h;2;6.687867489;DON
C_24h;1;5.903427457;DON
C_24h;2;6.178038533;DON
R_24h;1;5.703067477;DON
R_24h;2;6.267565331;DON
RP_24h;1;10.26987951;DON
RP_24h;2;5.175108953;DON
C_48h;1;7.862195769;DON
C_48h;2;7.46120142;DON
R_48h;1;6.950739393;DON
R_48h;2;7.368691386;DON
RP_48h;1;7.302396637;DON
RP_48h;2;7.929334029;DON
C_72h;1;7.448151078;DON
C_72h;2;7.071463214;DON
R_72h;1;5.082789484;DON
R_72h;2;5.80823569;DON
RP_72h;1;5.283548493;DON
RP_72h;2;4.803423485;DON
C_96h;1;7.498210239;DON
C_96h;2;6.62633724;DON
R_96h;1;6.503542457;DON
R_96h;2;6.369483618;DON
RP_96h;1;4.619420591;DON
RP_96h;2;6.409563773;DON
C_120h;1;9.891882811;DON
C_120h;2;9.963357644;DON
R_120h;1;11.62623439;DON
R_120h;2;12.22481229;DON
RP_120h;1;8.495291619;DON
RP_120h;2;7.084307003;DON
C_0h;1;7.933116014;NP
C_0h;2;2.307597485;NP
R_0h;1;38.60182683;NP
R_0h;2;49.4400115;NP
RP_0h;1;2.044910305;NP
RP_0h;2;1.765086197;NP
C_24h;1;6.590883241;NP
C_24h;2;1.229313094;NP
R_24h;1;3.450434226;NP
R_24h;2;3.921426915;NP
RP_24h;1;1.028193299;NP
RP_24h;2;4.157080735;NP
C_48h;1;15.30247028;NP
C_48h;2;27.24693978;NP
R_48h;1;8.560249942;NP
R_48h;2;5.619324296;NP
RP_48h;1;1.100876338;NP
RP_48h;2;0.341954477;NP
C_72h;1;4.177109687;NP
C_72h;2;44.98610058;NP
R_72h;1;23.81481086;NP
R_72h;2;9.684940781;NP
RP_72h;1;7.281386449;NP
RP_72h;2;3.877741669;NP
C_96h;1;17.48059285;NP
C_96h;2;16.62881355;NP
R_96h;1;24.62725267;NP
R_96h;2;18.4280552;NP
RP_96h;1;18.9379978;NP
RP_96h;2;5.565148209;NP
C_120h;1;16.59419912;NP
C_120h;2;20.1485822;NP
R_120h;1;20.99931928;NP
R_120h;2;24.65847672;NP
RP_120h;1;12.23785629;NP
RP_120h;2;16.25794967;NP
